asn	org_name	count
AS15169	Google LLC	5642
AS13335	Cloudflare, Inc.	2379
AS16509	Amazon.com, Inc.	1581
AS3462	Data Communication Business Group	1097
AS32934	Facebook, Inc.	1001
AS396982	Google LLC	727
AS54113	Fastly, Inc.	433
AS16625	Akamai Technologies, Inc.	378
AS1659	Taiwan Academic Network (TANet) Information Center	284
AS8075	Microsoft Corporation	280
AS20940	Akamai International B.V.	167
AS4782	Data Communication Business Group	116
AS31898	Oracle Corporation	95
AS9919	New Century InfoComm Tech Co., Ltd.	93
AS9924	Taiwan Fixed Network, Telco and Network Service Provider.	79
AS2635	Automattic, Inc	59
AS19551	Incapsula Inc	56
AS24376	Yahoo China Datacenter	48
AS18182	Sony Network Taiwan Limited	47
AS21859	Zenlayer Inc	47
AS38627	Baidu, Inc.	46
AS63949	Akamai Connected Cloud	46
AS38033	internet content provider	39
AS14618	Amazon.com, Inc.	37
AS150436	Byteplus Pte. Ltd.	34
AS26667	Magnite, Inc.	33
AS209242	Cloudflare London, LLC	28
AS17408	AboveNet Communications Taiwan	25
AS131149	Yuan-Jhen Info., Co., Ltd	22
AS60068	Datacamp Limited	22
AS132203	Tencent Building, Kejizhongyi Avenue	21
AS7532	Gamania CloudForce	21
AS24429	Zhejiang Taobao Network Co.,Ltd	20
AS138341	SHOPEE SINGAPORE PRIVATE LIMITED	19
AS45102	Alibaba (US) Technology Co., Ltd.	19
AS24158	Taiwan Mobile Co., Ltd.	18
AS16276	OVH SAS	15
AS24154	Asia Pacific Broadband Fixed Lines Co., Ltd.	15
AS4780	Digital United Inc.	14
AS7539	National Center for High-performance Computing	13
AS37963	Hangzhou Alibaba Advertising Co.,Ltd.	12
AS17420	Acer e-Enabling Data Center, Inc.	11
AS19527	Google LLC	11
AS24506	Yahoo Global Holdings B.V. Taiwan Branch	11
AS14061	DigitalOcean, LLC	10
AS207522	myGaru global	10
AS20454	SECURED SERVERS LLC	9
AS17416	DWINS Digital Service Corp.,	8
AS38843	PUMO NETWORK DIGITAL TECHNOLOGY CO.,LTD	8
AS55967	Beijing Baidu Netcom Science and Technology Co., Ltd.	8
AS131628	Tai-Fu Cloud Co., Ltd.	7
AS17710	President Information Corp.	7
AS17716	National Taiwan University	7
AS32787	Akamai Technologies, Inc.	7
AS38631	LY Corporation	7
AS46636	NatCoWeb Corp.	7
AS9264	Academia Sinica	7
AS131657	Hong Da Storage Equipment Co., Ltd.	6
AS20473	The Constant Company, LLC	6
AS24940	Hetzner Online GmbH	6
AS58521	Garena Online Pte Ltd	6
AS7979	Servers.com, Inc.	6
AS206834	Team Internet AG	5
AS26496	GoDaddy.com, LLC	5
AS29789	Reflected Networks, Inc.	5
AS395839	HOSTKEY	5
AS396362	Leaseweb USA, Inc.	5
AS7483	Skycloud Computing co., Ltd.	5
AS8068	Microsoft Corporation	5
AS9671	Trade-Van Informaiton Services Co.	5
AS131623	SHOPEE (TAIWAN) CO. LTD.	4
AS131634	MOBA Private Limited Taiwan Branch	4
AS140633	BILIBILI HK LIMITED	4
AS14907	Wikimedia Foundation Inc.	4
AS18183	National Center for Research on Earthquake Engineering	4
AS18410	104 Information Technology Co., Ltd.	4
AS18420	National Central University	4
AS18450	WebNX, Inc.	4
AS23576	NAVER Cloud Corp.	4
AS32097	WholeSale Internet, Inc.	4
AS40034	Confluence Networks Inc	4
AS62610	Zenlayer Inc	4
AS714	Apple Inc.	4
AS9002	RETN Limited	4
AS10135	EASPNET Inc.	3
AS131143	Chinatrust Commercial Bank	3
AS131600	Chief Telecom Inc.	3
AS131626	NSS INT'L CO., LTD.	3
AS139341	ACE	3
AS152194	CTG Server Limited	3
AS18042	Koos Broadband Telecom	3
AS18046	DongFong Technology Co. Ltd.	3
AS18049	Taiwan Infrastructure Network Technologie	3
AS18160	Kakao Corp	3
AS18181	National Health Research Institutes	3
AS19871	Network Solutions, LLC	3
AS199524	G-Core Labs S.A.	3
AS23820	Rakuten Group, Inc.	3
AS38845	Fu Jen Catholic University	3
AS40027	Netflix Streaming Services Inc.	3
AS4134	CHINANET-BACKBONE	3
AS46375	Sonic Telecom LLC	3
AS47583	Hostinger International Limited	3
AS4783	SYSTEX CORPORATION	3
AS4837	CHINA UNICOM China169 Backbone	3
AS54994	Meteverse Limited.	3
AS56173	internet content provider	3
AS7535	TISNET Technology Inc.	3
AS7625	Kakao Corp	3
AS7684	SAKURA Internet Inc.	3
AS9216	PUNET Taiwan	3
AS9676	SaveCom Internation Inc.	3
AS131142	Asia Pacific On-Line Service Inc.	2
AS131584	Taiwan Intelligent Fiber Optic Network Co.,Ltd.	2
AS133905	Layerstack Limited	2
AS134542	China Unicom IP network	2
AS135377	UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED	2
AS135391	AOFEI DATA INTERNATIONAL COMPANY LIMITED	2
AS14340	Salesforce.com, Inc.	2
AS150756	Floppy Ltd.	2
AS18047	National Tsing-Hua University	2
AS18422	Industrial Technology Research Institute	2
AS24282	KAGOYA JAPAN Inc.	2
AS24547	Hebei Mobile Communication Company Limited	2
AS24572	Yahoo Japan	2
AS25773	RADWARE INC.	2
AS2639	ZOHO	2
AS27647	Weebly, Inc.	2
AS35280	F5 Networks SARL	2
AS38841	kbro CO. Ltd.	2
AS398101	GoDaddy.com, LLC	2
AS41231	Canonical Group Limited	2
AS45090	Shenzhen Tencent Computer Systems Company Limited	2
AS45530	Agoda Company Pte. Ltd.	2
AS46597	Ecommerce Discovery, LLC	2
AS46652	DigitalOcean, LLC	2
AS47846	SEDO GmbH	2
AS4811	China Telecom (Group)	2
AS48447	Sectigo Limited	2
AS53334	Total Uptime Technologies, LLC	2
AS55569	Criteo APAC	2
AS55933	Cloudie Limited	2
AS61157	PlusServer GmbH	2
AS62041	Telegram Messenger Inc	2
AS63139	BEDGE CO LIMITED	2
AS9311	HITRON TECHNOLOGY INC.	2
AS9674	Far EastTone Telecommunication Co., Ltd.	2
AS9808	China Mobile Communications Group Co., Ltd.	2
AS10126	Taiwan Internet Gateway	1
AS10229	Yahoo Inc.	1
AS11643	eBay, Inc	1
AS12337	noris network AG	1
AS131596	TBC	1
AS131655	NAN YA PLASTICS CORPORATION	1
AS131663	GIGABYTE	1
AS132825	MYTEK TRADING PTY LTD	1
AS133618	Trellian Pty. Limited	1
AS133861	SonderCloud Limited	1
AS134351	Leaseweb Japan K.K.	1
AS134766	CHINANET Yunnan province IDC2 network	1
AS134770	CHINANET Jiangsu province Suzhou taihu IDC network	1
AS137687	Luoyang, Henan Province, P.R.China.	1
AS137693	CHINATELECOM Guangxi Nanning IDC network	1
AS137698	Haerbing , Heilongjiang Province, P.R.China.	1
AS140227	Hong Kong Communications International Co., Limited	1
AS141757	Zoho Japan Corporation	1
AS147060	HCS LIMITED	1
AS150772	National Credit Card Center of R.O.C.	1
AS16880	TREND MICRO INCORPORATED	1
AS17713	Ministry of Education Computer Center	1
AS17809	VEE TIME CORP.	1
AS17816	China Unicom IP network China169 Guangdong province	1
AS18045	SinoPac Holdings Corporate Network	1
AS18185	NTCU	1
AS18413	Great Taipei Broadband Company Ltd.	1
AS18415	B-WIZ Technology	1
AS18419	DaDa Broadband LTD.	1
AS18421	Taishin International Bank	1
AS18424	CM Craft Aesthetic	1
AS19750	Criteo Corp.	1
AS204844	NCSE NETWORK LTD	1
AS212238	Datacamp Limited	1
AS212317	Hetzner Online GmbH	1
AS22612	Namecheap, Inc.	1
AS23724	IDC, China Telecommunications Corporation	1
AS24168	Cloudmax Inc.	1
AS26101	Yahoo Holdings Inc.	1
AS26277	ServerPoint.com	1
AS29169	GANDI SAS	1
AS29873	Newfold Digital, Inc.	1
AS30148	Sucuri	1
AS30277	DFW Datacenter	1
AS30475	Handy Networks, LLC	1
AS36351	IBM Cloud	1
AS36459	GitHub, Inc.	1
AS38532	Exabytes Network (Singapore) Pte. Ltd.	1
AS394380	Leaseweb USA, Inc.	1
AS395409	Neocities	1
AS396986	Bytedance Inc.	1
AS39729	REGISTER S.P.A.	1
AS4058	CITIC Telecom International CPC Limited	1
AS41745	Baykov Ilya Sergeevich	1
AS42263	WIIT AG	1
AS47191	blue tech technology Co., Limited	1
AS53831	Squarespace, Inc.	1
AS55836	Reliance Jio Infocomm Limited	1
AS56630	Melbikomas UAB	1
AS57724	DDOS-GUARD LTD	1
AS58061	Scalaxy B.V.	1
AS58541	Qingdao,266000	1
AS6185	Apple Inc.	1
AS63023	GTHost	1
AS6453	TATA COMMUNICATIONS (AMERICA) INC	1
AS7482	Asia Pacific On-line Service Inc.	1
AS7506	GMO Internet Group, Inc.	1
AS7656	Taiwan Network Access Point	1
AS8590	Bayerische Motoren Werke Aktiengesellschaft	1
AS9370	SAKURA Internet Inc.	1
AS9916	National Yang Ming Chiao Tung University	1
