ASN	Company Name	Total Requests	Taiwan Requests	Non-Taiwan Requests	Taiwan Ratio (%)
AS15169	Google LLC	5603	5540	63	98.88
AS13335	Cloudflare, Inc.	2359	0	2359	0.00
AS16509	Amazon.com, Inc.	1597	1099	498	68.82
AS3462	Data Communication Business Group	1123	1123	0	100.00
AS396982	Google LLC	662	70	592	10.57
AS54113	Fastly, Inc.	408	0	408	0.00
AS16625	Akamai Technologies, Inc.	378	377	1	99.74
AS8075	Microsoft Corporation	289	18	271	6.23
AS20940	Akamai Technologies, Inc.	132	122	10	92.42
AS4782	Data Communication Business Group	111	111	0	100.00
AS9919	New Century InfoComm Tech Co., Ltd.	87	87	0	100.00
AS9924	Taiwan Fixed Network	76	76	0	100.00

=== 公司合計統計 ===
Company Name	ASNs	Total Requests	Taiwan Requests	Non-Taiwan Requests	Taiwan Ratio (%)
Google LLC	AS15169, AS396982	6265	5610	655	89.55
Cloudflare, Inc.	AS13335	2359	0	2359	0.00
Amazon.com, Inc.	AS16509	1597	1099	498	68.82
Data Communication Business Group	AS3462, AS4782	1234	1234	0	100.00
Akamai Technologies, Inc.	AS16625, AS20940	510	499	11	97.84
Fastly, Inc.	AS54113	408	0	408	0.00
Microsoft Corporation	AS8075	289	18	271	6.23
New Century InfoComm Tech Co., Ltd.	AS9919	87	87	0	100.00
Taiwan Fixed Network	AS9924	76	76	0	100.00